ds,unique_id,ARIMA,y,Interval,MAE,RMSE
2023-02-21,AAPL,149.05641022430794,146.99755859375,15,53.37693286795143,60.28932379465537
2023-02-22,AAPL,150.24915069973338,147.42327880859375,15,53.37693286795143,60.28932379465537
2023-02-23,AAPL,151.02577226478462,147.9083709716797,15,53.37693286795143,60.28932379465537
2023-02-24,AAPL,148.0687318170249,145.24525451660156,15,53.37693286795143,60.28932379465537
2023-02-27,AAPL,151.1153081011649,146.44314575195312,15,53.37693286795143,60.28932379465537
2023-02-28,AAPL,149.16507942314306,145.9382781982422,15,53.37693286795143,60.28932379465537
2023-03-01,AAPL,148.52690645998752,143.85922241210938,15,53.37693286795143,60.28932379465537
2023-03-02,AAPL,150.99699757342262,144.45321655273438,15,53.37693286795143,60.28932379465537
2023-03-03,AAPL,155.62344816951244,149.52212524414062,15,53.37693286795143,60.28932379465537
2023-03-06,AAPL,158.81876072803013,152.29415893554688,15,53.37693286795143,60.28932379465537
2023-03-07,AAPL,157.6289408869931,150.08642578125,15,53.37693286795143,60.28932379465537
2023-03-08,AAPL,159.13334000266696,151.34371948242188,15,53.37693286795143,60.28932379465537
2023-03-09,AAPL,157.9849324858369,149.08648681640625,15,53.37693286795143,60.28932379465537
2023-03-10,AAPL,156.24726702669176,147.01736450195312,15,53.37693286795143,60.28932379465537
2023-03-13,AAPL,160.4920195803569,148.9676971435547,15,53.37693286795143,60.28932379465537
2023-03-14,AAPL,163.29890546600717,151.0665283203125,15,53.37693286795143,60.28932379465537
2023-03-15,AAPL,165.63967563953568,151.46255493164062,15,53.37693286795143,60.28932379465537
2023-03-16,AAPL,169.76475029678517,154.29397583007812,15,53.37693286795143,60.28932379465537
2023-03-17,AAPL,167.23119206309445,153.45245361328125,15,53.37693286795143,60.28932379465537
2023-03-20,AAPL,170.2502012649237,155.8284912109375,15,53.37693286795143,60.28932379465537
2023-03-21,AAPL,173.77573620800965,157.68972778320312,15,53.37693286795143,60.28932379465537
2023-03-22,AAPL,171.61668306928246,156.25421142578125,15,53.37693286795143,60.28932379465537
2023-03-23,AAPL,172.90070081267584,157.34323120117188,15,53.37693286795143,60.28932379465537
2023-03-24,AAPL,174.47027949555337,158.65005493164062,15,53.37693286795143,60.28932379465537
2023-03-27,AAPL,173.5655016934877,156.69970703125,15,53.37693286795143,60.28932379465537
2023-03-28,AAPL,172.1037539019683,156.0760040283203,15,53.37693286795143,60.28932379465537
2023-03-29,AAPL,175.67683132987952,159.1648712158203,15,53.37693286795143,60.28932379465537
2023-03-30,AAPL,178.86238425197044,160.73898315429688,15,53.37693286795143,60.28932379465537
2023-03-31,AAPL,181.3939005547027,163.25363159179688,15,53.37693286795143,60.28932379465537
2023-04-03,AAPL,183.41086936585074,164.51095581054688,15,53.37693286795143,60.28932379465537
2023-04-04,AAPL,182.53121490172055,163.97633361816406,15,53.37693286795143,60.28932379465537
2023-04-05,AAPL,180.1644278380109,162.125,15,53.37693286795143,60.28932379465537
2023-04-06,AAPL,182.4007263828849,163.0160369873047,15,53.37693286795143,60.28932379465537
2023-04-10,AAPL,179.7456630757421,160.4122772216797,15,53.37693286795143,60.28932379465537
2023-04-11,AAPL,177.84042201896654,159.194580078125,15,53.37693286795143,60.28932379465537
2023-04-12,AAPL,177.3353351305244,158.50155639648438,15,53.37693286795143,60.28932379465537
2023-04-13,AAPL,181.20224030228647,163.9070587158203,15,53.37693286795143,60.28932379465537
2023-04-14,AAPL,180.37068348731006,163.56053161621094,15,53.37693286795143,60.28932379465537
2023-04-17,AAPL,182.9560206221809,163.58033752441406,15,53.37693286795143,60.28932379465537
2023-04-18,AAPL,185.53704571367555,164.80795288085938,15,53.37693286795143,60.28932379465537
2023-04-19,AAPL,187.04434035618465,165.95639038085938,15,53.37693286795143,60.28932379465537
2023-04-20,AAPL,185.49311299593342,164.9861602783203,15,53.37693286795143,60.28932379465537
2023-04-21,AAPL,182.94293506197783,163.37245178222656,15,53.37693286795143,60.28932379465537
2023-04-24,AAPL,184.09431308806933,163.67935180664062,15,53.37693286795143,60.28932379465537
2023-04-25,AAPL,182.95439801677196,162.13490295410156,15,53.37693286795143,60.28932379465537
2023-04-26,AAPL,183.1037636767669,162.125,15,53.37693286795143,60.28932379465537
2023-04-27,AAPL,186.99573008071417,166.72860717773438,15,53.37693286795143,60.28932379465537
2023-04-28,AAPL,190.8464900125672,167.9859161376953,15,53.37693286795143,60.28932379465537
2023-05-01,AAPL,190.9626553813456,167.89678955078125,15,53.37693286795143,60.28932379465537
2023-05-02,AAPL,190.1289495454764,166.85728454589844,15,53.37693286795143,60.28932379465537
2023-05-03,AAPL,186.52819053779214,165.7781524658203,15,53.37693286795143,60.28932379465537
2023-05-04,AAPL,184.16908150456413,164.1347198486328,15,53.37693286795143,60.28932379465537
2023-05-05,AAPL,190.45125772646014,171.8370819091797,15,53.37693286795143,60.28932379465537
2023-05-08,AAPL,189.6108921888275,171.7677764892578,15,53.37693286795143,60.28932379465537
2023-05-09,AAPL,188.00214763726154,170.05502319335938,15,53.37693286795143,60.28932379465537
2023-05-10,AAPL,190.81024379094168,171.82716369628906,15,53.37693286795143,60.28932379465537
2023-05-11,AAPL,193.3689636872058,172.01527404785156,15,53.37693286795143,60.28932379465537
2023-05-12,AAPL,192.23019049234645,171.08335876464844,15,53.37693286795143,60.28932379465537
2023-05-15,AAPL,192.2563027761847,170.58766174316406,15,53.37693286795143,60.28932379465537
2023-05-16,AAPL,192.73057155659092,170.58766174316406,15,53.37693286795143,60.28932379465537
