unique_id,Interval,MAE,RMSE,RMAE
AAPL,10,59.8664763565138,67.64753154933723,30.701767042749132
JPM,10,85.82278021287726,114.9001019373772,47.96012920053657
MSFT,10,774.8017252581835,852.5058988184624,205.82933228202114
NVDA,10,100.9932965337454,125.69787457870974,126.61829875049418
TSLA,10,492.7171295477927,733.3661187637995,206.31593615534976
AAPL,15,53.37693286795143,60.28932379465537,27.3736865455252
JPM,15,33.570810689029315,42.33697392737576,18.76029201126974
MSFT,15,95.62169621938162,104.55790038238356,25.40230518711239
NVDA,15,41.58675720787922,50.409929323675726,52.13855403216867
TSLA,15,372.04019592666464,547.7935125829869,155.78476311646924
AAPL,30,28.96280327748484,33.067293098556405,14.853208226836953
JPM,30,18.006025040068206,25.272357326693,10.062261851314314
MSFT,30,51.21711906790456,57.28987467683562,13.60604277906417
NVDA,30,19.78246027532468,25.74392067220562,24.801858649340108
TSLA,30,102.37537709490483,132.63985011263367,42.867743981171
AAPL,60,13.255141317415378,15.176456708621451,6.797731979789832
JPM,60,13.155873166100458,18.2869495876923,7.351863633722952
MSFT,60,132.09300625903856,146.3379011839433,35.09106186923218
NVDA,60,19.584812254385923,25.42553619270381,24.55406144871793
TSLA,60,16.39203039193574,19.492807735037022,6.86385127081547
AAPL,90,11.240748695152387,12.888150476902034,5.764676139772589
JPM,90,5.629733579614763,7.465356930515235,3.1460499085813907
MSFT,90,87.45145837658076,97.67134196459708,23.231847191283038
NVDA,90,2.553902101240278,3.5079396126154445,3.2019030008225036
TSLA,90,19.869459420067532,23.085973002873818,8.319958603660304
