unique_id,Interval,MAE,RMSE,RMAE
AAPL,10,12.025639419232538,13.470228146431149,7.485405356367897
JPM,10,7.473424534265856,8.687775708915357,5.797274374323478
MSFT,10,21.450272467471844,25.610783721087945,7.626000327002414
NVDA,10,6.479073875075397,7.058011363681878,24.0407410177842
TSLA,10,45.05926856739717,49.62775750427824,24.76748594860192
AAPL,15,10.666685911793428,12.231177101627745,6.639519536161853
JPM,15,8.157213798971737,9.382702977485415,6.327702421538156
MSFT,15,20.022174731804338,23.882963658789503,7.118283056011711
NVDA,15,6.2230023897812785,6.839619749013296,23.090582340989734
TSLA,15,47.14617209680895,51.7631699923913,25.91458299398522
AAPL,30,9.585627506462547,10.712607398353493,5.966610587564195
JPM,30,9.86632616584329,10.93248485175364,7.653492664267504
MSFT,30,19.113236894890278,21.92049962671528,6.795137499140916
NVDA,30,5.723837288742963,6.480293060182049,21.238419647592664
TSLA,30,53.46307356739718,56.85950141278887,29.386760270397993
AAPL,60,19.400389917135797,20.884213364291004,12.075847074634954
JPM,60,4.462758159610523,5.2538619559607875,3.461844486271324
MSFT,60,32.768049812370734,37.512612662430975,11.64969624340734
NVDA,60,7.566094698604807,8.16946055504292,28.074154836376437
TSLA,60,28.076075200267123,33.496972563599265,15.432425339403924
AAPL,90,7.715241549862133,9.011223087008133,4.802381678819355
JPM,90,9.32689380098231,10.590419594155595,7.2350449484779356
MSFT,90,17.396750388399006,20.92546865846376,6.184892259615506
NVDA,90,5.47314599432373,6.136302642383119,20.308224283139324
TSLA,90,45.02750121100931,50.43330642254828,24.750024556573692
