,ds,y,unique_id,12-day EMA,26-day EMA,MACD,Signal Line,MACD Histogram,RSI,OBV,TimeLLM
0,2023-02-21,146.99755859375,AAPL,149.45572093766273,145.80592443864748,3.649796499015253,4.025090559840135,-0.3752940608248822,56.786658134136864,866785700.0,147.04231
1,2023-02-22,147.42327880859375,AAPL,149.14303753319058,145.9257284660509,3.2173090671396665,3.863534261300041,-0.6462251941603747,55.82362660198045,917797000.0,151.98097
2,2023-02-23,147.9083709716797,AAPL,148.95308883141968,146.07259087387527,2.8804979575444065,3.666927000548914,-0.7864290430045076,47.787116066142055,966191200.0,134.36151
3,2023-02-24,145.24525451660156,AAPL,148.38265278298613,146.0113066992624,2.371346083723722,3.407810817183876,-1.0364647334601536,35.41924728611052,910721600.0,142.7879
4,2023-02-27,146.44314575195312,AAPL,148.08426708590412,146.04329477723948,2.040972308664635,3.134443115480028,-1.0934708068153929,42.65152685188233,955720100.0,132.65904
5,2023-02-28,145.9382781982422,AAPL,147.75411494934076,146.03551577138785,1.7185991779529104,2.8512743279746045,-1.132675150021694,34.04079729113742,905173100.0,133.7493
6,2023-03-01,143.85922241210938,AAPL,147.15490071284364,145.87430885588574,1.2805918569578978,2.537137833771263,-1.256545976813365,35.04009277260086,849694100.0,132.61987
7,2023-03-02,144.45321655273438,AAPL,146.73925699590376,145.769042759356,0.9702142365477472,2.22375311432656,-1.2535388777788126,38.667827607649215,901932200.0,137.67035
8,2023-03-03,149.52212524414062,AAPL,147.16739057255558,146.04704886934005,1.12034170321553,2.003070832104354,-0.8827291288888239,50.03910324821659,972664500.0,146.40228
9,2023-03-06,152.29415893554688,AAPL,147.9561241668619,146.50979776313315,1.4463264037287615,1.891721946429236,-0.4453955427004741,49.960925943667085,1060222500.0,128.81981
10,2023-03-07,150.08642578125,AAPL,148.28386287676778,146.77473317188256,1.5091297048852257,1.8152034981204337,-0.3060737932352082,47.05447731592009,1004040500.0,145.91768
11,2023-03-08,151.34371948242188,AAPL,148.7546100468684,147.11317660229287,1.64143344457554,1.7804494874114551,-0.139016042835915,45.32311913562195,1051245300.0,140.42836
12,2023-03-09,149.08648681640625,AAPL,148.8056680114127,147.25934772926425,1.5463202821484572,1.7336236463588557,-0.1873033642103982,44.213596584503584,997411700.0,154.69656
13,2023-03-10,147.01736450195312,AAPL,148.5305443945728,147.24142304575972,1.2891213488130688,1.6447231868496983,-0.3556018380366295,42.73929937006194,928839300.0,140.84583
14,2023-03-13,148.9676971435547,AAPL,148.59779866364693,147.36929520115194,1.2285034624949844,1.5614792419787555,-0.3329757794837711,53.85811553399857,1013296400.0,148.98027
15,2023-03-14,151.0665283203125,AAPL,148.97760322621085,147.64316432108976,1.3344389051210896,1.5160711746072226,-0.1816322694861329,56.69579458646954,1086992300.0,143.57222
16,2023-03-15,151.46255493164062,AAPL,149.35990348858465,147.92608214409353,1.433821344491122,1.4996212085840026,-0.0657998640928807,56.55355936037472,1164160200.0,147.14307
17,2023-03-16,154.29397583007812,AAPL,150.1189915411221,148.39777797268496,1.7212135684371503,1.5439396805546322,0.1772738878825182,66.58201599098054,1240321300.0,146.73094
18,2023-03-17,153.45245361328125,AAPL,150.63183185991582,148.7721983905069,1.8596334694089196,1.6070784383254897,0.2525550310834297,63.01472479824658,1141376700.0,153.09569
19,2023-03-20,155.8284912109375,AAPL,151.43131791391914,149.29488674757584,2.1364311663433,1.712948983929052,0.423482182414248,67.17077980530962,1215018100.0,133.7162
20,2023-03-21,157.68972778320312,AAPL,152.3941502015013,149.916726824289,2.477423377212318,1.8658438625857052,0.6115795146266128,74.19466433759072,1288956400.0,140.2814
21,2023-03-22,156.25421142578125,AAPL,152.98800577446747,150.38617012810323,2.6018356463642363,2.013042219341412,0.5887934270228246,70.05386141653554,1213254600.0,147.0455
22,2023-03-23,157.34323120117188,AAPL,153.6580404554989,150.90150798536757,2.756532470131333,2.161740269499396,0.5947922006319368,65.36964093805173,1280876700.0,127.77251
23,2023-03-24,158.65005493164062,AAPL,154.42604268259765,151.47547442583223,2.950568256765422,2.319505866952601,0.6310623898128207,63.2535165377821,1340073200.0,134.3492
24,2023-03-27,156.69970703125,AAPL,154.77583719777493,151.86245461882612,2.913382578948813,2.438281209351844,0.475101369596969,63.93985709176334,1287682900.0,134.27135
25,2023-03-28,156.0760040283203,AAPL,154.9758628640127,152.17456938989977,2.8012934741129243,2.51088366230406,0.2904098118088645,60.24873086717412,1241690700.0,154.09213
26,2023-03-29,159.1648712158203,AAPL,155.6203256873677,152.69236952515317,2.9279561622145422,2.5942981622861563,0.3336579999283859,71.06790690909277,1292996400.0,145.33156
27,2023-03-30,160.73898315429688,AAPL,156.40781145151067,153.2884149791638,3.119396472346864,2.6993178242982983,0.4200786480485656,79.2899103772909,1342498100.0,142.7767
28,2023-03-31,163.25363159179688,AAPL,157.46101455001624,154.02657917269218,3.434435377324064,2.8463413349034514,0.5880940424206127,79.77711128851175,1411247900.0,148.85329
29,2023-04-03,164.51095581054688,AAPL,158.54562089779017,154.80319966438512,3.7424212334050537,3.025557314603772,0.7168639188012818,79.04189761466534,1468224100.0,136.95018
30,2023-04-04,163.97633361816406,AAPL,159.38111516246306,155.48269106836872,3.898424094094338,3.2001306705018857,0.6982934235924523,76.87066805852352,1421945800.0,147.72859
31,2023-04-05,162.125,AAPL,159.8032512913149,155.97471395219327,3.828537339121624,3.325812004225834,0.5027253348957901,67.55432388280653,1370434100.0,152.58646
